artist,comments,country,dated,department,description,id,img_url,medium,onview,role,submit_time,title,web_url
,"This punch bowl's pseudo-armorial was satirically drawn to poke fun at English political figures of the late 1760s for their opposition to John Wilkes (1727-97). A proponent of civil liberties and American independence, Wilkes was elected several times to the House of Commons, but repeatedly expelled for attacking King George III and his loyalists.  Acquired in 1914, this bowl was the first Chinese Export porcelain object to enter the Institute's permanent collection.",China,c. 1770,European Art,"Holiday Traditions, Chas. Drawing Room, 'Wilkes Bowl', decorated in colors and gold a pair of medallions on each side, each forming a satyrical coat of arms, Cat Card Dims H.4-1/4 x Dia. 10 in.",51,https://6.api.artsmia.org/51.jpg,Porcelain,,Artist,2023-05-09 15:50:59,“Arms of Liberty” punch bowl,https://collections.artsmia.org/art/51
,,China,16th-17th century,"Chinese, South and Southeast Asian Art","Bottle, black mirror glaze Kangxi period 1662-1722.",66,https://6.api.artsmia.org/66.jpg,Porcelain with black mirror glaze,,Artist,2023-05-09 15:51:18,Bottle,https://collections.artsmia.org/art/66
,"Unlike the monochrome tradition, this finely executed plate represents a less restrained aspect of Qing ceramic taste. Nevertheless, a technical virtuosity is apparent in the overglaze enamels which create a richly varied design of butterflies and flowers on a green stipple ground. A work such as this, eggshell thin and of flawless brushwork, is the reward of 2,500 years of constant effort by the Chinese to create faultless ceramics. It is natural that such exquisite objects often functioned as purely decorative pieces.",China,Kangxi period (1662-1722),Asian Art,"Plate, famille verte; K'ang Hsi period",67,https://6.api.artsmia.org/67.jpg,"Porcelain, famille verte",,Artist,2023-05-09 15:51:20,Plate,https://collections.artsmia.org/art/67
,,China,1736-1795,Asian Art,"Bottle, pale Celadon glaze",68,https://6.api.artsmia.org/68.jpg,Porcelain with pale celadon glaze,,Artist,2023-05-09 15:51:21,Bottle,https://collections.artsmia.org/art/68
,,China,1736-1795,Asian Art,"Bottle, small, pea green",69,https://6.api.artsmia.org/69.jpg,Porcelain with pea green glaze,,Artist,2023-05-09 15:51:22,Bottle,https://collections.artsmia.org/art/69
,,China,1723-1735,Asian Art,"Vase, camelia green",70,https://6.api.artsmia.org/70.jpg,Porcelain with camellia green glaze,,Artist,2023-05-09 15:51:23,Vase,https://collections.artsmia.org/art/70
,,China,1723-1735,"Chinese, South and Southeast Asian Art","Vase, white, globular shape, dragon decoration under glaze",71,https://6.api.artsmia.org/71.jpg,White porcelain,,Artist,2023-05-09 15:51:25,Globular Vase with Dragon Decor,https://collections.artsmia.org/art/71
,,China,17th-20th century,Asian Art,"two reclining goats, apparently eating fungus - symbol of longevity. grey and black jade.",113,https://6.api.artsmia.org/113.jpg,Carved jade,,Artist,2023-05-09 15:52:17,Paperweight: Deer and Fungus Motif,https://collections.artsmia.org/art/113
,,China,12th-13th century,Asian Art,fine sky blue glaze flushing into areas of purple. glazed stoneware,118,https://6.api.artsmia.org/118.jpg,"Jun ware, Porcelaneous stoneware with ""splash"" markings on blue glaze",,Artist,2023-05-09 15:52:23,Plate,https://collections.artsmia.org/art/118
,,China,mid 10th-late 13th century,Asian Art,"Pai-Ting-yao Plate shallow circular form; light porcellaneous ware, covered with creamy white glaze; inner surface decorated beneath the glaze with floral design in slight relief; rim mounted with copper band.",119,https://6.api.artsmia.org/119.jpg,"porcelain, copper",,Artist,2023-05-09 15:52:24,Plate,https://collections.artsmia.org/art/119
