artist,comments,country,dated,department,description,id,img_url,medium,onview,role,submit_time,title,web_url
"Cooper, Susie;","Bone china, transfer-printed",Burslem,ca. 1960,"© Victoria and Albert Museum, London",,O8894,"https://framemark.vam.ac.uk/collections/2010ED8887/full/!100,100/0/default.jpg",bone china;,,Coffee pot,2023-05-09 15:46:54,Assyrian Motif,https://collections.vam.ac.uk/item/O8894
"Cooper, Susie;",Bone china,Stoke-on-Trent,1960s,"© Victoria and Albert Museum, London",,O56537,"https://framemark.vam.ac.uk/collections/2009CA0673/full/!100,100/0/default.jpg",bone china;,,Plate,2023-05-09 15:46:57,Assyrian Motif,https://collections.vam.ac.uk/item/O56537
"Beato, Felice;",Albumen print from wet collodion on glass negative,China,29 October 1860,"©Victoria and Albert Museum, London","Having established his reputation as a professional photographer documenting military conflicts in the Crimea and India during the 1850s,  Italian-born Felice Beato arrived in China in March 1860 during the final months of the Second Opium War.  Accompanying the Anglo-French expeditionary force, which went on to seize Beijing and force the Chinese Empire to accede to sweeping political and economic demands, Beato’s views, combining topographical and military information, provided a visual record of the Imperial campaign.  They were often included in ‘progress’ reports sent from Hong Kong to the commanding officer of the British army.

Beato also sold his images of China to British officers as unmounted prints with his stock number, title, and date written in pencil on the verso of each print.  By assembling a selection of images, the purchaser could construct a personal visual record.  Surviving albums such as this one have differing numbers of prints, and are a reflection of the owner's personal military career.  But even before the ‘narrative’ was constructed by the purchaser, Beato himself controlled the story, determining what was considered worthy of recording and eliminating any conflicting viewpoints. These views were absorbed by the public as part of a larger visual memory documenting England’s rise as an Imperial power.
",O1096288,"https://framemark.vam.ac.uk/collections/2015HV7818/full/!100,100/0/default.jpg",,,Photograph,2023-05-09 15:46:59,The Grounds of the Winter Palace Pekin,https://collections.vam.ac.uk/item/O1096288
"Beato, Felice;",Albumen print from wet collodion on glass negative,China,ca. 24 October 1860,"©Victoria and Albert Museum, London","Having established his reputation as a professional photographer documenting military conflicts in the Crimea and India during the 1850s,  Italian-born Felice Beato arrived in China in March 1860 during the final months of the Second Opium War.  Accompanying the Anglo-French expeditionary force, which went on to seize Beijing and force the Chinese Empire to accede to sweeping political and economic demands, Beato’s views, combining topographical and military information, provided a visual record of the Imperial campaign.  They were often included in ‘progress’ reports sent from Hong Kong to the commanding officer of the British army.

Beato also sold his images of China to British officers as unmounted prints with his stock number, title, and date written in pencil on the verso of each print.  By assembling a selection of images, the purchaser could construct a personal visual record.  Surviving albums such as this one have differing numbers of prints, and are a reflection of the owner's personal military career.  But even before the ‘narrative’ was constructed by the purchaser, Beato himself controlled the story, determining what was considered worthy of recording and eliminating any conflicting viewpoints. These views were absorbed by the public as part of a larger visual memory documenting England’s rise as an Imperial power.
",O1096281,"https://framemark.vam.ac.uk/collections/2015HV7824/full/!100,100/0/default.jpg",,,Photograph,2023-05-09 15:47:00,"Shop near 'Anting Gate', Pekin",https://collections.vam.ac.uk/item/O1096281
"Beato, Felice;",Albumen print from wet collodion on glass negative,China,before 18 October 1860,"©Victoria and Albert Museum, London","Having established his reputation as a professional photographer documenting military conflicts in the Crimea and India during the 1850s,  Italian-born Felice Beato arrived in China in March 1860 during the final months of the Second Opium War.  Accompanying the Anglo-French expeditionary force, which went on to seize Beijing and force the Chinese Empire to accede to sweeping political and economic demands, Beato’s views, combining topographical and military information, provided a visual record of the Imperial campaign.  They were often included in ‘progress’ reports sent from Hong Kong to the commanding officer of the British army.

Beato also sold his images of China to British officers as unmounted prints with his stock number, title, and date written in pencil on the verso of each print.  By assembling a selection of images, the purchaser could construct a personal visual record.  Surviving albums such as this one have differing numbers of prints, and are a reflection of the owner's personal military career.  But even before the ‘narrative’ was constructed by the purchaser, Beato himself controlled the story, determining what was considered worthy of recording and eliminating any conflicting viewpoints. These views were absorbed by the public as part of a larger visual memory documenting England’s rise as an Imperial power.
",O1096275,"https://framemark.vam.ac.uk/collections/2015HV7840/full/!100,100/0/default.jpg",,,Photograph,2023-05-09 15:47:02,Temple near 'Tung Chow' where the Depot was formed before the Army went on to Pekin,https://collections.vam.ac.uk/item/O1096275
"Beato, Felice;",Albumen print from wet collodion on glass negative,China,6-8 October 1860,"©Victoria and Albert Museum, London","Having established his reputation as a professional photographer documenting military conflicts in the Crimea and India during the 1850s,  Italian-born Felice Beato arrived in China in March 1860 during the final months of the Second Opium War.  Accompanying the Anglo-French expeditionary force, which went on to seize Beijing and force the Chinese Empire to accede to sweeping political and economic demands, Beato’s views, combining topographical and military information, provided a visual record of the Imperial campaign.  They were often included in ‘progress’ reports sent from Hong Kong to the commanding officer of the British army.

Beato also sold his images of China to British officers as unmounted prints with his stock number, title, and date written in pencil on the verso of each print.  By assembling a selection of images, the purchaser could construct a personal visual record.  Surviving albums such as this one have differing numbers of prints, and are a reflection of the owner's personal military career.  But even before the ‘narrative’ was constructed by the purchaser, Beato himself controlled the story, determining what was considered worthy of recording and eliminating any conflicting viewpoints. These views were absorbed by the public as part of a larger visual memory documenting England’s rise as an Imperial power.
",O1096277,"https://framemark.vam.ac.uk/collections/2015HV7841/full/!100,100/0/default.jpg",,,Photograph,2023-05-09 15:47:04,"Imperial Summer Palace, before the Burning, Yuen Ming Yuen, Pekin",https://collections.vam.ac.uk/item/O1096277
Unknown;,Watercolour and ink on paper,Guangzhou,1770-1790,"© Victoria and Albert Museum, London","This painting is from a set of 24 depicting the porcelain industry in China. It shows men digging china clay, one of the two major ingredients for porcelain. The other ingredient was china stone. Europe could not produce true porcelain before the 18th century. Artists targeted paintings such as this at Europeans eager to find out the secrets of porcelain manufacture in China.",O68036,"https://framemark.vam.ac.uk/collections/2006AG1283/full/!100,100/0/default.jpg",,,Painting,2023-05-09 15:47:06,Digging China Clay,https://collections.vam.ac.uk/item/O68036
"Bravi, Mirko;",Slip-cast bone china,England,1993,"© Victoria and Albert Museum, London",,O10642,"https://framemark.vam.ac.uk/collections/2009BY9688/full/!100,100/0/default.jpg",bone china;,,Dish,2023-05-09 15:47:08,Pesaro,https://collections.vam.ac.uk/item/O10642
"French, Neal;White, David;",Bone china,Stoke-on-Trent,ca. 1960,"© Victoria and Albert Museum, London",,O145705,"https://framemark.vam.ac.uk/collections/2008BT4225/full/!100,100/0/default.jpg",bone china;,,Jug,2023-05-09 15:47:10,Apollo Ware,https://collections.vam.ac.uk/item/O145705
"Björquist, Karin;",Bone china,Sweden,1978,"© Victoria and Albert Museum, London",,O168620,"https://framemark.vam.ac.uk/collections/2009CA3497/full/!100,100/0/default.jpg",bone china;,,Bowl,2023-05-09 15:47:11,Blanche,https://collections.vam.ac.uk/item/O168620
"Björquist, Karin;",Bone china,Sweden,1978,"© Victoria and Albert Museum, London",,O168621,"https://framemark.vam.ac.uk/collections/2009CA1651/full/!100,100/0/default.jpg",bone china;,,Plate,2023-05-09 15:47:13,Blanche,https://collections.vam.ac.uk/item/O168621
,Bone china with transfer-printed and painted decoration,Staffordshire,ca. 1920-1929,"© Victoria and Albert Museum, London",,O150064,"https://framemark.vam.ac.uk/collections/2010EC4568/full/!100,100/0/default.jpg",bone china;,,Cup and saucer,2023-05-09 15:47:22,De Luxe,https://collections.vam.ac.uk/item/O150064
Unknown;,Watercolour and ink on paper,Guangzhou,1770-1790,"© Victoria and Albert Museum, London","This painting is from a set of 24 depicting the porcelain industry in China. It shows men mining china stone, one of the two major ingredients for porcelain. The other ingredient was china clay. Europe could not produce true porcelain before the 18th century. Artists targeted paintings such as this at Europeans eager to find out the secrets of porcelain manufacture in China.",O68041,"https://framemark.vam.ac.uk/collections/2006AG1281/full/!100,100/0/default.jpg",,,Painting,2023-05-09 15:47:24,Mining China Stone,https://collections.vam.ac.uk/item/O68041
"Beato, Felice;",Albumen print from wet collodion on glass negative,China,ca. 13 October 1860,"©Victoria and Albert Museum, London","Having established his reputation as a professional photographer documenting military conflicts in the Crimea and India during the 1850s,  Italian-born Felice Beato arrived in China in March 1860 during the final months of the Second Opium War.  Accompanying the Anglo-French expeditionary force, which went on to seize Beijing and force the Chinese Empire to accede to sweeping political and economic demands, Beato’s views, combining topographical and military information, provided a visual record of the Imperial campaign.  They were often included in ‘progress’ reports sent from Hong Kong to the commanding officer of the British army.

Beato also sold his images of China to British officers as unmounted prints with his stock number, title, and date written in pencil on the verso of each print.  By assembling a selection of images, the purchaser could construct a personal visual record.  Surviving albums such as this one have differing numbers of prints, and are a reflection of the owner's personal military career.  But even before the ‘narrative’ was constructed by the purchaser, Beato himself controlled the story, determining what was considered worthy of recording and eliminating any conflicting viewpoints. These views were absorbed by the public as part of a larger visual memory documenting England’s rise as an Imperial power.
",O1096292,"https://framemark.vam.ac.uk/collections/2015HV7817/full/!100,100/0/default.jpg",,,Photograph,2023-05-09 15:47:26,Position taken up by the Allied Forces to breach the wall.  English heavy guns in the grounds behind the wall of the 'Temple of Earth'.  French sunken Battery within 50 years of the wall under the slope,https://collections.vam.ac.uk/item/O1096292
"French, Neal;White, David;",Bone china,Stoke-on-Trent,1960,"© Victoria and Albert Museum, London",,O145700,"https://framemark.vam.ac.uk/collections/2008BT4224/full/!100,100/0/default.jpg",bone china;,,Jug,2023-05-09 15:47:28,Apollo Ware,https://collections.vam.ac.uk/item/O145700
"Brake, Brian;",Gelatin-silver print,India,1959,"© Victoria and Albert Museum, London",,O89702,"https://framemark.vam.ac.uk/collections/2006BB5815/full/!100,100/0/default.jpg",,,Photograph,2023-05-09 15:47:33,China,https://collections.vam.ac.uk/item/O89702
"Cooper, Susie;","Bone china, glazed",Stoke-on-Trent,ca. 1971,"© Victoria and Albert Museum, London",,O161630,"https://framemark.vam.ac.uk/collections/2010ED8233/full/!100,100/0/default.jpg",bone china;,,Teapot and cover,2023-05-09 15:47:33,Charisma,https://collections.vam.ac.uk/item/O161630
"Beato, Felice;",Albumen print from wet collodion on glass negative,China,3-5 October 1860,"©Victoria and Albert Museum, London","Having established his reputation as a professional photographer documenting military conflicts in the Crimea and India during the 1850s,  Italian-born Felice Beato arrived in China in March 1860 during the final months of the Second Opium War.  Accompanying the Anglo-French expeditionary force, which went on to seize Beijing and force the Chinese Empire to accede to sweeping political and economic demands, Beato’s views, combining topographical and military information, provided a visual record of the Imperial campaign.  They were often included in ‘progress’ reports sent from Hong Kong to the commanding officer of the British army.

Beato also sold his images of China to British officers as unmounted prints with his stock number, title, and date written in pencil on the verso of each print.  By assembling a selection of images, the purchaser could construct a personal visual record.  Surviving albums such as this one have differing numbers of prints, and are a reflection of the owner's personal military career.  But even before the ‘narrative’ was constructed by the purchaser, Beato himself controlled the story, determining what was considered worthy of recording and eliminating any conflicting viewpoints. These views were absorbed by the public as part of a larger visual memory documenting England’s rise as an Imperial power.
",O1096274,"https://framemark.vam.ac.uk/collections/2015HV7842/full/!100,100/0/default.jpg",,,Photograph,2023-05-09 15:47:37,"Carved Tomb at the Depot near Pekin, the Place Where the Guns and Ammunition Were Left When the Army Marched to Pekin",https://collections.vam.ac.uk/item/O1096274
"Lindberg, Stig;",bone china,Sweden,ca. 1949,"© Victoria and Albert Museum, London",,O168676,"https://framemark.vam.ac.uk/collections/2009CA6201/full/!100,100/0/default.jpg",bone china;,,Coffee pot and lid,2023-05-09 15:47:39,SA,https://collections.vam.ac.uk/item/O168676
"Stofer, Hans;","Bone china, broken and reassembled",London,2004,"© Victoria and Albert Museum, London","Hans Stofer (born 1957)
‘Jane’scupreallybadlygluedtogether’
2004

Many objects have intense personal
significance for their owners. This broken
cup had been a favourite of the artist’s
friend, Jane. Stofer’s reassemblage stands
in testimony to the value she placed upon it.
His deliberate misalignment of the pieces,
however, suggests that its power as a
memento does not rely on its aesthetic
perfection and can be enhanced by our
attempts to preserve it.

Made in London
Broken bone china cup, reassembled
Museum no. C.79:1, 2-2007
Acquired through the generosity of Gerard and Sarah Griffin
",O202705,"https://framemark.vam.ac.uk/collections/2009CD6919/full/!100,100/0/default.jpg",Bone china;,,Cup and saucer,2023-05-09 15:47:43,Jane'scupreallybadlygluedtogether,https://collections.vam.ac.uk/item/O202705
"Wise, William;","Earthenware, dust-pressed, with transfer printed decoration",Stoke-on-Trent,ca. 1879,"© Victoria and Albert Museum, London","William Wise was one of a number of designers and illustrators who turned their hand to the design of tile decoration for Mintons China Works in the late 19th century. This design, which comes from a series depicting 'Animals on the Farm', is made after an earlier etching by Robert Hills.",O8845,"https://framemark.vam.ac.uk/collections/2006AH1622/full/!100,100/0/default.jpg",earthenware;,,Tile,2023-05-09 15:47:44,Animals on the Farm,https://collections.vam.ac.uk/item/O8845
"French, Neal;White, David;",Bone china,Stoke-on-Trent,ca. 1960,"© Victoria and Albert Museum, London",,O170618,"https://framemark.vam.ac.uk/collections/2009CA1743/full/!100,100/0/default.jpg",bone china;,,Cup and saucer,2023-05-09 15:47:46,Apollo Ware,https://collections.vam.ac.uk/item/O170618
"French, Neal;White, David;",Bone china,Stoke-on-Trent,ca. 1960,"© Victoria and Albert Museum, London",,O170632,"https://framemark.vam.ac.uk/collections/2009BX9967/full/!100,100/0/default.jpg",bone china;,,Dish and cover,2023-05-09 15:47:47,Apollo Ware,https://collections.vam.ac.uk/item/O170632
"French, Neal;White, David;",Bone china,Stoke-on-Trent,ca. 1960,"© Victoria and Albert Museum, London",,O170633,"https://framemark.vam.ac.uk/collections/2009BX9949/full/!100,100/0/default.jpg",bone china;,,Teapot and cover,2023-05-09 15:47:48,Apollo Ware,https://collections.vam.ac.uk/item/O170633
"Sutherland, Graham Vivian;",Bone china,Fenton,ca. 1938,"© Victoria and Albert Museum, London",,O346844,"https://framemark.vam.ac.uk/collections/2010EC4935/full/!100,100/0/default.jpg",bone china;,,Cup and saucer,2023-05-09 15:47:50,White Rose,https://collections.vam.ac.uk/item/O346844
"Björquist, Karin;",Bone china,Sweden,1985,"© Victoria and Albert Museum, London",,O168501,"https://framemark.vam.ac.uk/collections/2009CA6220/full/!100,100/0/default.jpg",bone china;,,Sugar pot and lid,2023-05-09 15:47:52,Stockholm,https://collections.vam.ac.uk/item/O168501
"Björquist, Karin;",Bone china,Sweden,1985,"© Victoria and Albert Museum, London",,O168508,"https://framemark.vam.ac.uk/collections/2009CA6266/full/!100,100/0/default.jpg",bone china;,,Coffee cup and saucer,2023-05-09 15:47:53,Stockholm,https://collections.vam.ac.uk/item/O168508
"Beato, Felice;",Albumen print from wet collodion on glass negative,China,2-12 August 1860,"©Victoria and Albert Museum, London","Having established his reputation as a professional photographer documenting military conflicts in the Crimea and India during the 1850s,  Italian-born Felice Beato arrived in China in March 1860 during the final months of the Second Opium War.  Accompanying the Anglo-French expeditionary force, which went on to seize Beijing and force the Chinese Empire to accede to sweeping political and economic demands, Beato’s views, combining topographical and military information, provided a visual record of the Imperial campaign.  They were often included in ‘progress’ reports sent from Hong Kong to the commanding officer of the British army.

Beato also sold his images of China to British officers as unmounted prints with his stock number, title, and date written in pencil on the verso of each print.  By assembling a selection of images, the purchaser could construct a personal visual record.  Surviving albums such as this one have differing numbers of prints, and are a reflection of the owner's personal military career.  But even before the ‘narrative’ was constructed by the purchaser, Beato himself controlled the story, determining what was considered worthy of recording and eliminating any conflicting viewpoints. These views were absorbed by the public as part of a larger visual memory documenting England’s rise as an Imperial power.
",O1096303,"https://framemark.vam.ac.uk/collections/2015HV7833/full/!100,100/0/default.jpg",,,Photograph,2023-05-09 15:47:55,"Bastion of the 'Pehtang' Fort.  Surrendered 2nd Augt. 1860, Head Quarters English Army",https://collections.vam.ac.uk/item/O1096303
"Beato, Felice;",Albumen print from wet collodion on glass negative,China,ca. October 13 1860,"©Victoria and Albert Museum, London","Having established his reputation as a professional photographer documenting military conflicts in the Crimea and India during the 1850s,  Italian-born Felice Beato arrived in China in March 1860 during the final months of the Second Opium War.  Accompanying the Anglo-French expeditionary force, which went on to seize Beijing and force the Chinese Empire to accede to sweeping political and economic demands, Beato’s views, combining topographical and military information, provided a visual record of the Imperial campaign.  They were often included in ‘progress’ reports sent from Hong Kong to the commanding officer of the British army.

Beato also sold his images of China to British officers as unmounted prints with his stock number, title, and date written in pencil on the verso of each print.  By assembling a selection of images, the purchaser could construct a personal visual record.  Surviving albums such as this one have differing numbers of prints, and are a reflection of the owner's personal military career.  But even before the ‘narrative’ was constructed by the purchaser, Beato himself controlled the story, determining what was considered worthy of recording and eliminating any conflicting viewpoints. These views were absorbed by the public as part of a larger visual memory documenting England’s rise as an Imperial power.
",O1096295,"https://framemark.vam.ac.uk/collections/2015HV7834/full/!100,100/0/default.jpg",,,Photograph,2023-05-09 15:47:57,The Wall of Pekin.  Held by the English.  Battery erected across the wall in order to guard against any attack,https://collections.vam.ac.uk/item/O1096295
"Beato, Felice;",Albumen print from wet collodion on glass negative,China,ca. 13 October 1860,"©Victoria and Albert Museum, London","Having established his reputation as a professional photographer documenting military conflicts in the Crimea and India during the 1850s,  Italian-born Felice Beato arrived in China in March 1860 during the final months of the Second Opium War.  Accompanying the Anglo-French expeditionary force, which went on to seize Beijing and force the Chinese Empire to accede to sweeping political and economic demands, Beato’s views, combining topographical and military information, provided a visual record of the Imperial campaign.  They were often included in ‘progress’ reports sent from Hong Kong to the commanding officer of the British army.

Beato also sold his images of China to British officers as unmounted prints with his stock number, title, and date written in pencil on the verso of each print.  By assembling a selection of images, the purchaser could construct a personal visual record.  Surviving albums such as this one have differing numbers of prints, and are a reflection of the owner's personal military career.  But even before the ‘narrative’ was constructed by the purchaser, Beato himself controlled the story, determining what was considered worthy of recording and eliminating any conflicting viewpoints. These views were absorbed by the public as part of a larger visual memory documenting England’s rise as an Imperial power.
",O1096293,"https://framemark.vam.ac.uk/collections/2015HV7816/full/!100,100/0/default.jpg",,,Photograph,2023-05-09 15:47:58,"Wall of Pekin, Guns brought up by the Chinese to oppose the Batteries",https://collections.vam.ac.uk/item/O1096293
"Stevens, Simon;",Bone china,Stoke-on-Trent,January 1998,"© Victoria and Albert Museum, London",,O60997,"https://framemark.vam.ac.uk/collections/2009BY9536/full/!100,100/0/default.jpg",bone china;,,Bowl,2023-05-09 15:48:00,Night & Day,https://collections.vam.ac.uk/item/O60997
"Lowndes, Gillian;","Bone china, fibre glass, hand-built, stainless steel rope",Essex,1996,"©Victoria and Albert Museum, London/Gillian Lowndes","Gillian Lowndes (1936–2010)
‘Scroll’ 
1996
Gillian Lowndes’ sculptural works suggest 
associations with familiar objects, yet remain 
enigmatic and strange. Clay is often worked in 
unconventional ways, and in combination with 
other materials and found objects. Her series 
of ‘scrolls’ recall furled paper, yet their bone 
china and fibre glass forms are rendered rigid 
and unyielding. 

Made in Toppesfield, Essex
Bone china and fibre glass, hand-built, with 
stainless steel rope
Museum no. C.76-2008 
Acquired through the generosity of Gerard and Sarah Griffin",O297163,"https://framemark.vam.ac.uk/collections/2010EL2229/full/!100,100/0/default.jpg",bone china;fibreglass;stainless steel;,,Form,2023-05-09 15:48:01,Scroll,https://collections.vam.ac.uk/item/O297163
"Beato, Felice;",Albumen print from wet collodion on glass negative,China,ca. 22 August 1860,"© Victoria and Albert Museum, London","Having established his reputation as a professional photographer documenting military conflicts in the Crimea and India during the 1850s,  Italian-born Felice Beato arrived in China in March 1860 during the final months of the Second Opium War.  Accompanying the Anglo-French expeditionary force, which went on to seize Beijing and force the Chinese Empire to accede to sweeping political and economic demands, Beato’s views, combining topographical and military information, provided a visual record of the Imperial campaign.  They were often included in ‘progress’ reports sent from Hong Kong to the commanding officer of the British army.

Beato also sold his images of China to British officers as unmounted prints with his stock number, title, and date written in pencil on the verso of each print.  By assembling a selection of images, the purchaser could construct a personal visual record.  Surviving albums such as this one have differing numbers of prints, and are a reflection of the owner's personal military career.  But even before the ‘narrative’ was constructed by the purchaser, Beato himself controlled the story, determining what was considered worthy of recording and eliminating any conflicting viewpoints. These views were absorbed by the public as part of a larger visual memory documenting England’s rise as an Imperial power.
",O1096296,"https://framemark.vam.ac.uk/collections/2011EU2405/full/!100,100/0/default.jpg",,,Photograph,2023-05-09 15:48:02,The Fort attacked by Admiral Hope in 1859 when the Allied Forces were repulsed,https://collections.vam.ac.uk/item/O1096296
"Beato, Felice;",Albumen print from wet collodion on glass negative,China,April 1860,"©Victoria and Albert Museum, London","Having established his reputation as a professional photographer documenting military conflicts in the Crimea and India during the 1850s,  Italian-born Felice Beato arrived in China in March 1860 during the final months of the Second Opium War.  Accompanying the Anglo-French expeditionary force, which went on to seize Beijing and force the Chinese Empire to accede to sweeping political and economic demands, Beato’s views, combining topographical and military information, provided a visual record of the Imperial campaign.  They were often included in ‘progress’ reports sent from Hong Kong to the commanding officer of the British army.

Beato also sold his images of China to British officers as unmounted prints with his stock number, title, and date written in pencil on the verso of each print.  By assembling a selection of images, the purchaser could construct a personal visual record.  Surviving albums such as this one have differing numbers of prints, and are a reflection of the owner's personal military career.  But even before the ‘narrative’ was constructed by the purchaser, Beato himself controlled the story, determining what was considered worthy of recording and eliminating any conflicting viewpoints. These views were absorbed by the public as part of a larger visual memory documenting England’s rise as an Imperial power.
",O1096267,"https://framemark.vam.ac.uk/collections/2015HV7877/full/!100,100/0/default.jpg",,,Photograph,2023-05-09 15:48:04,Allied Commissioners Yamen Canton,https://collections.vam.ac.uk/item/O1096267
"Ting, Peter;",Bone china,Stoke-on-Trent,1997,"© Victoria and Albert Museum, London",,O12394,"https://framemark.vam.ac.uk/collections/2009CA0624/full/!100,100/0/default.jpg",bone china;,,Lay plate,2023-05-09 15:48:06,Eclipse,https://collections.vam.ac.uk/item/O12394
"Ting, Peter;",Bone china,Stoke-on-Trent,1997,"© Victoria and Albert Museum, London",,O12398,"https://framemark.vam.ac.uk/collections/2009CA0628/full/!100,100/0/default.jpg",bone china;,,Lay plate,2023-05-09 15:48:07,Nebula,https://collections.vam.ac.uk/item/O12398
"Beato, Felice;",Albumen print from wet collodion on glass negative,China,ca. 22 August 1860,"©Victoria and Albert Museum, London","Having established his reputation as a professional photographer documenting military conflicts in the Crimea and India during the 1850s,  Italian-born Felice Beato arrived in China in March 1860 during the final months of the Second Opium War.  Accompanying the Anglo-French expeditionary force, which went on to seize Beijing and force the Chinese Empire to accede to sweeping political and economic demands, Beato’s views, combining topographical and military information, provided a visual record of the Imperial campaign.  They were often included in ‘progress’ reports sent from Hong Kong to the commanding officer of the British army.

Beato also sold his images of China to British officers as unmounted prints with his stock number, title, and date written in pencil on the verso of each print.  By assembling a selection of images, the purchaser could construct a personal visual record.  Surviving albums such as this one have differing numbers of prints, and are a reflection of the owner's personal military career.  But even before the ‘narrative’ was constructed by the purchaser, Beato himself controlled the story, determining what was considered worthy of recording and eliminating any conflicting viewpoints. These views were absorbed by the public as part of a larger visual memory documenting England’s rise as an Imperial power.
",O1096297,"https://framemark.vam.ac.uk/collections/2015HV7813/full/!100,100/0/default.jpg",,,Photograph,2023-05-09 15:48:09,Interior of the second N. Fort which surrendered 2000 prisoners taken in it,https://collections.vam.ac.uk/item/O1096297
"Beato, Felice;",Albumen print from wet collodion on glass negative,China,3-5 October 1860,"©Victoria and Albert Museum, London","Having established his reputation as a professional photographer documenting military conflicts in the Crimea and India during the 1850s,  Italian-born Felice Beato arrived in China in March 1860 during the final months of the Second Opium War.  Accompanying the Anglo-French expeditionary force, which went on to seize Beijing and force the Chinese Empire to accede to sweeping political and economic demands, Beato’s views, combining topographical and military information, provided a visual record of the Imperial campaign.  They were often included in ‘progress’ reports sent from Hong Kong to the commanding officer of the British army.

Beato also sold his images of China to British officers as unmounted prints with his stock number, title, and date written in pencil on the verso of each print.  By assembling a selection of images, the purchaser could construct a personal visual record.  Surviving albums such as this one have differing numbers of prints, and are a reflection of the owner's personal military career.  But even before the ‘narrative’ was constructed by the purchaser, Beato himself controlled the story, determining what was considered worthy of recording and eliminating any conflicting viewpoints. These views were absorbed by the public as part of a larger visual memory documenting England’s rise as an Imperial power.
",O1096282,"https://framemark.vam.ac.uk/collections/2015HV7826/full/!100,100/0/default.jpg",,,Photograph,2023-05-09 15:48:10,"Mosque near Pekin, Occupied by the Commander in Chief and Lord Elgin",https://collections.vam.ac.uk/item/O1096282
"Lindberg, Stig;",bone china,Sweden,1945,"© Victoria and Albert Museum, London",,O168594,"https://framemark.vam.ac.uk/collections/2009CA6219/full/!100,100/0/default.jpg",bone china;,,Cup and saucer,2023-05-09 15:48:12,LB,https://collections.vam.ac.uk/item/O168594
"Lindberg, Stig;",bone china,Sweden,ca. 1949,"© Victoria and Albert Museum, London",,O168675,"https://framemark.vam.ac.uk/collections/2009CA6217/full/!100,100/0/default.jpg",bone china;,,Cup and saucer,2023-05-09 15:48:13,SA,https://collections.vam.ac.uk/item/O168675
"Cooper, Susie;","Bone china, transfer-printed, painted, glazed",Stoke-on-Trent,ca. 1986,"© Victoria and Albert Museum, London",,O161614,"https://framemark.vam.ac.uk/collections/2010ED6762/full/!100,100/0/default.jpg",bone china;,,Soup bowl,2023-05-09 15:48:14,Glen Mist,https://collections.vam.ac.uk/item/O161614
"Beato, Felice;",Albumen print from wet collodion on glass negative,China,3-5 October 1860,"©Victoria and Albert Museum, London","Having established his reputation as a professional photographer documenting military conflicts in the Crimea and India during the 1850s,  Italian-born Felice Beato arrived in China in March 1860 during the final months of the Second Opium War.  Accompanying the Anglo-French expeditionary force, which went on to seize Beijing and force the Chinese Empire to accede to sweeping political and economic demands, Beato’s views, combining topographical and military information, provided a visual record of the Imperial campaign.  They were often included in ‘progress’ reports sent from Hong Kong to the commanding officer of the British army.

Beato also sold his images of China to British officers as unmounted prints with his stock number, title, and date written in pencil on the verso of each print.  By assembling a selection of images, the purchaser could construct a personal visual record.  Surviving albums such as this one have differing numbers of prints, and are a reflection of the owner's personal military career.  But even before the ‘narrative’ was constructed by the purchaser, Beato himself controlled the story, determining what was considered worthy of recording and eliminating any conflicting viewpoints. These views were absorbed by the public as part of a larger visual memory documenting England’s rise as an Imperial power.
",O1096273,"https://framemark.vam.ac.uk/collections/2015HV7827/full/!100,100/0/default.jpg",,,Photograph,2023-05-09 15:48:16,Temple near 'Tung chow' where the Depot was formed before the Army went on to Pekin,https://collections.vam.ac.uk/item/O1096273
